	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [74, 100, 111, 119, 52, 114, 90, 122, 80, 96, 66, 68, 108, 118, 129, 1, 35, 67, 36, 76, 3, 28, 49, 10, 146, 94, 97, 127, 73, 121, 31, 46, 21, 105, 24, 128, 106, 89, 101, 113, 145, 133, 47, 41, 136, 132, 40, 4, 65, 125, 70, 138, 64, 23, 85, 139, 79, 50, 143, 98, 102, 134, 14, 60, 141, 5, 61, 117, 103, 20, 0, 107, 58, 30, 34, 72, 6, 69, 83, 149, 93, 42, 12, 43, 109, 13, 29, 120, 148, 39, 110, 112, 88, 19, 81, 82, 62, 16, 63, 18, 115, 124, 11, 150, 27, 123, 33, 99, 9, 86, 44, 95, 116, 48, 84, 75, 26, 17, 137, 25, 59, 54, 147, 8, 92, 87, 104, 57, 71, 142, 135, 151, 22, 126, 130, 38, 144, 91, 7, 53, 37, 131, 77, 51, 55, 2, 45, 56, 15, 32, 78, 140]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.2s loss=2.478, TAw acc=  8.7% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.453, TAw acc= 20.0% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.431, TAw acc= 27.0% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.416, TAw acc= 18.3% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.393, TAw acc= 36.5% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.356, TAw acc= 42.6% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.333, TAw acc= 36.5% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.310, TAw acc= 21.7% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.292, TAw acc= 24.3% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.242, TAw acc= 40.9% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.212, TAw acc= 21.7% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.174, TAw acc= 33.9% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.139, TAw acc= 27.0% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.116, TAw acc= 25.2% | *
