	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [101, 136, 97, 141, 60, 54, 105, 26, 59, 1, 17, 13, 52, 10, 62, 91, 49, 146, 0, 4, 72, 71, 32, 98, 36, 123, 64, 94, 35, 145, 48, 131, 142, 96, 114, 84, 116, 40, 138, 5, 81, 66, 69, 120, 16, 53, 42, 55, 117, 87, 112, 119, 44, 33, 104, 21, 23, 28, 46, 11, 85, 111, 3, 113, 2, 124, 108, 80, 79, 29, 134, 103, 122, 127, 132, 19, 90, 149, 45, 39, 24, 15, 51, 34, 8, 14, 7, 30, 135, 9, 73, 38, 137, 20, 125, 67, 128, 37, 88, 110, 58, 118, 83, 100, 70, 109, 31, 140, 93, 115, 150, 130, 78, 143, 63, 25, 107, 6, 99, 89, 92, 144, 147, 43, 129, 76, 82, 121, 151, 139, 75, 74, 57, 77, 27, 133, 56, 61, 41, 47, 22, 126, 50, 102, 65, 86, 68, 18, 106, 95, 12, 148]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.4s | Train: skip eval | Valid: time=  0.1s loss=2.450, TAw acc= 20.0% | *
| Epoch   2, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.409, TAw acc= 18.3% | *
| Epoch   3, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.371, TAw acc= 40.9% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.328, TAw acc= 54.8% | *
| Epoch   5, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.287, TAw acc= 39.1% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.230, TAw acc= 47.8% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.180, TAw acc= 46.1% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.117, TAw acc= 31.3% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=2.066, TAw acc= 29.6% | *
| Epoch  10, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.983, TAw acc= 41.7% | *
| Epoch  11, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.921, TAw acc= 33.9% | *
| Epoch  12, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.856, TAw acc= 43.5% | *
| Epoch  13, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.800, TAw acc= 38.3% | *
| Epoch  14, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.757, TAw acc= 44.3% | *
| Epoch  15, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.694, TAw acc= 53.9% | *
| Epoch  16, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.636, TAw acc= 55.7% | *
| Epoch  17, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.569, TAw acc= 60.9% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.538, TAw acc= 54.8% | *
| Epoch  19, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.478, TAw acc= 66.1% | *
| Epoch  20, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.433, TAw acc= 68.7% | *
| Epoch  21, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.399, TAw acc= 57.4% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.378, TAw acc= 73.9% | *
| Epoch  23, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.348, TAw acc= 66.1% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.338, TAw acc= 54.8% | *
| Epoch  25, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.320, TAw acc= 60.9% | *
| Epoch  26, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.256, TAw acc= 67.0% | *
| Epoch  27, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.244, TAw acc= 73.9% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.207, TAw acc= 59.1% | *
| Epoch  29, time=  0.2s | Train: skip eval | Valid: time=  0.1s loss=1.191, TAw acc= 75.7% | *
| Epoch  30, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.122, TAw acc= 74.8% | *
| Epoch  31, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.104, TAw acc= 72.2% | *
