	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [50, 104, 26, 44, 109, 96, 107, 125, 66, 35, 86, 49, 132, 15, 98, 92, 144, 28, 58, 81, 48, 17, 2, 139, 20, 59, 51, 100, 64, 10, 133, 127, 87, 30, 33, 150, 103, 6, 131, 18, 47, 146, 97, 134, 142, 91, 151, 148, 68, 135, 99, 31, 43, 74, 0, 123, 13, 67, 90, 38, 115, 129, 41, 108, 29, 46, 40, 9, 19, 101, 5, 84, 36, 11, 136, 72, 122, 116, 60, 37, 62, 114, 76, 42, 21, 94, 137, 110, 53, 130, 25, 93, 117, 95, 106, 102, 105, 120, 73, 1, 141, 8, 79, 89, 22, 23, 52, 75, 65, 77, 24, 71, 88, 56, 7, 118, 128, 138, 85, 14, 63, 4, 119, 121, 12, 111, 39, 54, 45, 82, 69, 70, 83, 147, 32, 34, 112, 143, 145, 80, 78, 55, 16, 61, 126, 27, 124, 57, 3, 149, 140, 113]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.8s | Train: skip eval | Valid: time=  0.2s loss=2.460, TAw acc= 16.5% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.445, TAw acc= 22.6% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.426, TAw acc= 25.2% | *
| Epoch   4, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.411, TAw acc= 18.3% | *
| Epoch   5, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.396, TAw acc= 20.0% | *
| Epoch   6, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.363, TAw acc= 46.1% | *
| Epoch   7, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.343, TAw acc= 28.7% | *
| Epoch   8, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.322, TAw acc= 23.5% | *
| Epoch   9, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.310, TAw acc= 29.6% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.266, TAw acc= 50.4% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.237, TAw acc= 18.3% | *
| Epoch  12, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.205, TAw acc= 33.0% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.176, TAw acc= 19.1% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.159, TAw acc= 29.6% | *
| Epoch  15, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.112, TAw acc= 41.7% | *
| Epoch  16, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.073, TAw acc= 29.6% | *
| Epoch  17, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.033, TAw acc= 53.0% | *
| Epoch  18, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.999, TAw acc= 41.7% | *
| Epoch  19, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.966, TAw acc= 46.1% | *
| Epoch  20, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.930, TAw acc= 64.3% | *
| Epoch  21, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.893, TAw acc= 58.3% | *
| Epoch  22, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.859, TAw acc= 57.4% | *
| Epoch  23, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.825, TAw acc= 68.7% | *
| Epoch  24, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.812, TAw acc= 66.1% | *
| Epoch  25, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.773, TAw acc= 57.4% | *
| Epoch  26, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.723, TAw acc= 65.2% | *
| Epoch  27, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.692, TAw acc= 60.9% | *
| Epoch  28, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.642, TAw acc= 52.2% | *
| Epoch  29, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.613, TAw acc= 61.7% | *
| Epoch  30, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.557, TAw acc= 79.1% | *
