	dataset_config: {'path': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'path_test': '/home/fr27/Documents/pyscript/har/DSADS/dsads.mat', 'resize': None, 'pad': None, 'crop': None, 'normalize': None, 'class_order': None, 'extend_channel': None, 'flip': False}
CLASS_ORDER: [124, 36, 45, 89, 100, 136, 135, 26, 143, 35, 31, 58, 120, 128, 90, 123, 27, 22, 129, 32, 81, 104, 98, 7, 130, 107, 38, 1, 71, 117, 102, 149, 139, 96, 40, 3, 108, 77, 93, 94, 114, 62, 21, 106, 119, 146, 116, 50, 0, 20, 115, 14, 113, 4, 132, 74, 63, 24, 70, 64, 137, 29, 141, 33, 80, 42, 127, 147, 118, 16, 101, 44, 84, 112, 52, 68, 69, 2, 55, 110, 6, 95, 17, 30, 148, 131, 51, 133, 150, 49, 72, 34, 67, 122, 9, 19, 10, 111, 138, 13, 37, 92, 83, 60, 48, 11, 39, 82, 88, 54, 56, 43, 46, 57, 145, 105, 76, 126, 12, 41, 15, 144, 134, 66, 140, 79, 47, 61, 28, 53, 109, 121, 99, 23, 87, 65, 103, 142, 78, 5, 125, 85, 8, 59, 75, 73, 151, 18, 97, 25, 86, 91]
======
LLL_Net(
  (model): SimpleMLP(
    (fc1): Linear(in_features=405, out_features=66, bias=True)
    (fc2): Sequential()
  )
  (heads): ModuleList()
)
======

************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  0.9s | Train: skip eval | Valid: time=  0.2s loss=2.419, TAw acc=  8.7% | *
| Epoch   2, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.365, TAw acc= 42.6% | *
| Epoch   3, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.315, TAw acc= 33.9% | *
| Epoch   4, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.252, TAw acc= 51.3% | *
| Epoch   5, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=2.186, TAw acc= 61.7% | *
| Epoch   6, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=2.110, TAw acc= 60.0% | *
| Epoch   7, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=2.035, TAw acc= 59.1% | *
| Epoch   8, time=  0.2s | Train: skip eval | Valid: time=  0.2s loss=1.965, TAw acc= 56.5% | *
| Epoch   9, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.896, TAw acc= 51.3% | *
| Epoch  10, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.795, TAw acc= 54.8% | *
| Epoch  11, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.723, TAw acc= 54.8% | *
| Epoch  12, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.637, TAw acc= 67.8% | *
| Epoch  13, time=  0.3s | Train: skip eval | Valid: time=  0.3s loss=1.573, TAw acc= 55.7% | *
| Epoch  14, time=  0.3s | Train: skip eval | Valid: time=  0.2s loss=1.527, TAw acc= 58.3% | *
